Project,Experiment,SPNID,Name,First Author,Year,Journal,Title,Authors,ReferencesAndLinks
10,EX2 Horizontal,57,Sliding occluder,Rampone  ,2019,Neuroimage,Representation of symmetry in the extrastriate visual cortex from temporal integration of parts: An EEG/ERP study,"Rampone, G., Makin, A. D. J., Tatlidil, S. and Bertamini, M.",10.1016/j.neuroimage.2019.03.007
10,EX3 No occluder,58,Sliding occluder,Rampone  ,2019,Neuroimage,Representation of symmetry in the extrastriate visual cortex from temporal integration of parts: An EEG/ERP study,"Rampone, G., Makin, A. D. J., Tatlidil, S. and Bertamini, M.",10.1016/j.neuroimage.2019.03.007
10,EX4 Two halves,59,Sliding occluder,Rampone  ,2019,Neuroimage,Representation of symmetry in the extrastriate visual cortex from temporal integration of parts: An EEG/ERP study,"Rampone, G., Makin, A. D. J., Tatlidil, S. and Bertamini, M.",10.1016/j.neuroimage.2019.03.007
10,EX5 Oddball,60,Sliding occluder,Rampone  ,2019,Neuroimage,Representation of symmetry in the extrastriate visual cortex from temporal integration of parts: An EEG/ERP study,"Rampone, G., Makin, A. D. J., Tatlidil, S. and Bertamini, M.",10.1016/j.neuroimage.2019.03.007
11,EX1 Shape matching task,61,SPN persistent,Bertamini  ,2019,Scientific Reports,Sustained response to symmetry in extrastriate areas after stimulus offset: An EEG study,"Bertamini, M., Rampone, G., Oulton, J., Tatlidil, S. and Makin, A. D. J.",10.1038/s41598-019-40580-z
11,EX2 Color matching task,62,SPN persistent,Bertamini  ,2019,Scientific Reports,Sustained response to symmetry in extrastriate areas after stimulus offset: An EEG study,"Bertamini, M., Rampone, G., Oulton, J., Tatlidil, S. and Makin, A. D. J.",10.1038/s41598-019-40580-z
11,Sup EX1,63,SPN persistent,Bertamini  ,2019,Scientific Reports,Sustained response to symmetry in extrastriate areas after stimulus offset: An EEG study,"Bertamini, M., Rampone, G., Oulton, J., Tatlidil, S. and Makin, A. D. J.",10.1038/s41598-019-40580-z
11,Sup EX1,64,SPN persistent,Bertamini  ,2019,Scientific Reports,Sustained response to symmetry in extrastriate areas after stimulus offset: An EEG study,"Bertamini, M., Rampone, G., Oulton, J., Tatlidil, S. and Makin, A. D. J.",10.1038/s41598-019-40580-z
11,Sup EX1,65,SPN persistent,Bertamini  ,2019,Scientific Reports,Sustained response to symmetry in extrastriate areas after stimulus offset: An EEG study,"Bertamini, M., Rampone, G., Oulton, J., Tatlidil, S. and Makin, A. D. J.",10.1038/s41598-019-40580-z
11,Sup EX2,66,SPN persistent,Bertamini  ,2019,Scientific Reports,Sustained response to symmetry in extrastriate areas after stimulus offset: An EEG study,"Bertamini, M., Rampone, G., Oulton, J., Tatlidil, S. and Makin, A. D. J.",10.1038/s41598-019-40580-z
12,N/A,67,AntiSymm attention,Makin  ,2019,EJN,Symmetric patterns with different luminance polarity (anti-symmetry) generate an automatic response in extrastriate cortex,"Makin, A. D. J., Rampone, G. and Bertamini, M.",10.1111/ejn.14579
12,N/A,68,AntiSymm attention,Makin  ,2019,EJN,Symmetric patterns with different luminance polarity (anti-symmetry) generate an automatic response in extrastriate cortex,"Makin, A. D. J., Rampone, G. and Bertamini, M.",10.1111/ejn.14579
12,N/A,69,AntiSymm attention,Makin  ,2019,EJN,Symmetric patterns with different luminance polarity (anti-symmetry) generate an automatic response in extrastriate cortex,"Makin, A. D. J., Rampone, G. and Bertamini, M.",10.1111/ejn.14579
12,N/A,70,AntiSymm attention,Makin  ,2019,EJN,Symmetric patterns with different luminance polarity (anti-symmetry) generate an automatic response in extrastriate cortex,"Makin, A. D. J., Rampone, G. and Bertamini, M.",10.1111/ejn.14579
13,EX1 Reg Task,71,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX1 Reg Task,72,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX1 Reg Task,73,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX1 Reg Task,74,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX1 Reg Task,75,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX2 Col Task,76,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX2 Col Task,77,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX2 Col Task,78,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX2 Col Task,79,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
13,EX2 Col Task,80,Psymm and task,Makin  ,2020,JOCN,"The Formation of Symmetrical Gestalts Is Task-Independent, but Can Be Enhanced by Active Regularity Discrimination","Makin, A. D. J., Rampone, G., Morris, A. and Bertamini, M.",10.1162/jocn_a_01485
